ell_s_over_lc,vT_over_lc,rstar_numeric,rstar_theory,abs_error,signed_error,error_in_grid_steps,signed_error_in_grid_steps,radius_step,theory_positive_radius,numeric_positive_radius,classification_match,transition_gap_vT_over_lc
0.049999999999999996,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,False,False,True,1.3877787807814457e-17
0.049999999999999996,0.1077479145475366,0.0032,0.0035094343446382455,0.0003094343446382454,-0.0003094343446382454,0.19339646539890334,-0.19339646539890334,0.0016,True,True,True,0.007747914547536608
0.049999999999999996,0.11609613089343249,0.008,0.007263409619229818,0.0007365903807701824,0.0007365903807701824,0.46036898798136394,0.46036898798136394,0.0016,True,True,True,0.016096130893432495
0.049999999999999996,0.12509115990805186,0.0112,0.011276941799300715,7.694179930071467e-05,-7.694179930071467e-05,0.048088624562946665,-0.048088624562946665,0.0016,True,True,True,0.02509115990805187
0.049999999999999996,0.1347831160842501,0.016,0.01556568285956248,0.000434317140437521,0.000434317140437521,0.2714482127734506,0.2714482127734506,0.0016,True,True,True,0.034783116084250096
0.049999999999999996,0.14522599674296482,0.020800000000000003,0.020145907396839434,0.0006540926031605686,0.0006540926031605686,0.40880787697535537,0.40880787697535537,0.0016,True,True,True,0.04522599674296483
0.049999999999999996,0.15647798287141804,0.0256,0.02503449248957051,0.0005655075104294902,0.0005655075104294902,0.35344219401843135,0.35344219401843135,0.0016,True,True,True,0.056477982871418045
0.049999999999999996,0.1686017632700044,0.0304,0.03024889010330305,0.0001511098966969493,0.0001511098966969493,0.09444368543559331,0.09444368543559331,0.0016,True,True,True,0.0686017632700044
0.049999999999999996,0.18166488381380433,0.0352,0.035807091374640325,0.0006070913746403228,-0.0006070913746403228,0.37943210915020176,-0.37943210915020176,0.0016,True,True,True,0.08166488381380434
0.049999999999999996,0.1957401237745795,0.041600000000000005,0.041727582149900536,0.00012758214990053057,-0.00012758214990053057,0.0797388436878316,-0.0797388436878316,0.0016,True,True,True,0.09574012377457951
0.049999999999999996,0.21090590129987632,0.048,0.04802928922220744,2.9289222207441734e-05,-2.9289222207441734e-05,0.018305763879651084,-0.018305763879651084,0.0016,True,True,True,0.11090590129987633
0.049999999999999996,0.22724671030830257,0.054400000000000004,0.05473151680446811,0.00033151680446810716,-0.00033151680446810716,0.20719800279256698,-0.20719800279256698,0.0016,True,True,True,0.1272467103083026
0.049999999999999996,0.24485359123507788,0.062400000000000004,0.061853872897842735,0.0005461271021572692,0.0005461271021572692,0.3413294388482932,0.3413294388482932,0.0016,True,True,True,0.1448535912350779
0.049999999999999996,0.26382463825054625,0.0688,0.06941618536719796,0.0006161853671979578,-0.0006161853671979578,0.3851158544987236,-0.3851158544987236,0.0016,True,True,True,0.16382463825054627
0.049999999999999996,0.28426554577754615,0.07680000000000001,0.07743840771707691,0.0006384077170769054,-0.0006384077170769054,0.39900482317306585,-0.39900482317306585,0.0016,True,True,True,0.18426554577754617
0.049999999999999996,0.3062901973524789,0.0864,0.08594051477299205,0.0004594852270079497,0.0004594852270079497,0.28717826687996856,0.28717826687996856,0.0016,True,True,True,0.20629019735247894
0.049999999999999996,0.3300213001108302,0.0944,0.09494238871101089,0.0005423887110108938,-0.0005423887110108938,0.3389929443818086,-0.3389929443818086,0.0016,True,True,True,0.23002130011083022
0.049999999999999996,0.3555910684320866,0.10400000000000001,0.10446369613958743,0.0004636961395874245,-0.0004636961395874245,0.2898100872421403,-0.2898100872421403,0.0016,True,True,True,0.2555910684320866
0.049999999999999996,0.3831419605528771,0.11520000000000001,0.1145237572155313,0.0006762427844687058,0.0006762427844687058,0.4226517402929411,0.4226517402929411,0.0016,True,True,True,0.2831419605528771
0.049999999999999996,0.41282747225227034,0.12480000000000001,0.12514140806317509,0.00034140806317507766,-0.00034140806317507766,0.21338003948442352,-0.21338003948442352,0.0016,True,True,True,0.31282747225227037
0.049999999999999996,0.4448129920311316,0.136,0.13633485805271908,0.00033485805271907254,-0.00033485805271907254,0.20928628294942034,-0.20928628294942034,0.0016,True,True,True,0.34481299203113164
0.049999999999999996,0.47927672255004444,0.14880000000000002,0.1481215437693779,0.0006784562306221265,0.0006784562306221265,0.42403514413882903,0.42403514413882903,0.0016,True,True,True,0.37927672255004446
0.049999999999999996,0.516410673459456,0.16,0.16051798175715612,0.0005179817571561163,-0.0005179817571561163,0.32373859822257267,-0.32373859822257267,0.0016,True,True,True,0.41641067345945604
0.049999999999999996,0.5564217311534528,0.1728,0.1735396223370338,0.0007396223370337851,-0.0007396223370337851,0.4622639606461157,-0.4622639606461157,0.0016,True,True,True,0.45642173115345286
0.049999999999999996,0.5995328114071461,0.1872,0.18720070696632923,7.069663292280648e-07,-7.069663292280648e-07,0.0004418539557675405,-0.0004418539557675405,0.0016,True,True,True,0.4995328114071461
0.049999999999999996,0.6459841013194154,0.2016,0.20151413171210295,8.586828789705625e-05,8.586828789705625e-05,0.053667679935660156,0.053667679935660156,0.0016,True,True,True,0.5459841013194154
0.049999999999999996,0.696034397480316,0.216,0.21649131944646208,0.0004913194464620796,-0.0004913194464620796,0.30707465403879974,-0.30707465403879974,0.0016,True,True,True,0.5960343974803161
0.049999999999999996,0.7499625478185521,0.232,0.2321421033277731,0.00014210332777309098,-0.00014210332777309098,0.08881457985818186,-0.08881457985818186,0.0016,True,True,True,0.6499625478185521
0.049999999999999996,0.8080690051620618,0.248,0.24847462400463577,0.0004746240046357708,-0.0004746240046357708,0.29664000289735676,-0.29664000289735676,0.0016,True,True,True,0.7080690051620618
0.049999999999999996,0.8706775011671474,0.2656,0.2654952427683621,0.00010475723163788642,0.00010475723163788642,0.06547326977367901,0.06547326977367901,0.0016,True,True,True,0.7706775011671474
0.049999999999999996,0.9381368499422049,0.2832,0.2832084725882319,8.472588231889233e-06,-8.472588231889233e-06,0.005295367644930771,-0.005295367644930771,0.0016,True,True,True,0.8381368499422049
0.049999999999999996,1.0108228914146788,0.3024,0.3016169285998212,0.0007830714001788031,0.0007830714001788031,0.4894196251117519,0.4894196251117519,0.0016,True,True,True,0.9108228914146789
0.049999999999999996,1.0891405852684266,0.32,0.3207212991921591,0.000721299192159075,-0.000721299192159075,0.4508119950994219,-0.4508119950994219,0.0016,True,True,True,0.9891405852684266
0.049999999999999996,1.173526267117564,0.3408,0.3405203383698107,0.00027966163018927626,0.00027966163018927626,0.17478851886829766,0.17478851886829766,0.0016,True,True,True,1.0735262671175638
0.049999999999999996,1.264450079486729,0.36160000000000003,0.3610108795693494,0.0005891204306506248,0.0005891204306506248,0.3682002691566405,0.3682002691566405,0.0016,True,True,True,1.164450079486729
0.049999999999999996,1.3624185911416191,0.3824,0.38218787060584214,0.00021212939415787835,0.00021212939415787835,0.13258087134867397,0.13258087134867397,0.0016,True,True,True,1.262418591141619
0.049999999999999996,1.467977619363024,0.4048,0.40404442893414616,0.0007555710658538328,0.0007555710658538328,0.4722319161586455,0.4722319161586455,0.0016,True,True,True,1.367977619363024
0.049999999999999996,1.581715270888233,0.4272,0.4265719159514027,0.0006280840485973216,0.0006280840485973216,0.392552530373326,0.392552530373326,0.0016,True,True,True,1.4817152708882328
0.049999999999999996,1.7042652184619906,0.4496,0.44976002865861614,0.00016002865861614035,-0.00016002865861614035,0.10001791163508772,-0.10001791163508772,0.0016,True,True,True,1.6042652184619905
0.049999999999999996,1.836310231251813,0.4736,0.4735969066550781,3.093344921933916e-06,3.093344921933916e-06,0.0019333405762086975,0.0019333405762086975,0.0016,True,True,True,1.7363102312518128
