regime,radius,radius_over_lc,total,temporal,spatial,mc_total,mc_se,mc_ci_low,mc_ci_high,variance_total,mT,mS
local,0.028,0.028,0.42287203499828885,0.24421625854427453,0.17865577645401434,0.41995457852661044,0.0026698407879492928,0.41472169058222985,0.42518746647099104,0.42287203499828885,10.0,0.6191201511210244
local,0.03,0.03,0.4336008608360399,0.2591817793182821,0.17441908151775776,0.4372142142878888,0.002759379993978407,0.43180582949969115,0.4426225990760865,0.4336008608360399,10.0,0.6158875233292588
local,0.032,0.032,0.4441338197211958,0.27385096292630906,0.17028285679488678,0.447290343507593,0.0028335741517000563,0.4417365381702609,0.45284414884492513,0.4441338197211958,10.0,0.6126757224534816
local,0.034,0.034,0.4544743969429908,0.28822967723739035,0.16624471970560045,0.45358835070227166,0.0028697648732239583,0.4479636115507527,0.4592130898537906,0.4544743969429908,10.0,0.6094845733142513
local,0.036000000000000004,0.036000000000000004,0.46462601810025583,0.302323673928969,0.16230234417128683,0.4663115346561567,0.0029578808452401456,0.460514088199486,0.4721089811128274,0.46462601810025583,10.0,0.6063139026493823
local,0.038,0.038,0.47459205006228133,0.31613859078764406,0.15845345927463728,0.47346363017109244,0.0029897400963596085,0.4676037395822276,0.47932352075995727,0.47459205006228133,10.0,0.6031635390877514
local,0.04,0.04,0.4843758019158959,0.3296799539643607,0.1546958479515352,0.48346812717261317,0.003029161278955721,0.47753097106585995,0.4894052832793664,0.4843758019158959,10.0,0.6000333131235341
local,0.042,0.042,0.4939805258989094,0.34295318018494325,0.15102734571396617,0.4935448145482399,0.0031052662525041,0.48745849269333186,0.49963113640314794,0.4939805258989094,10.0,0.5969230570908601
local,0.044,0.044,0.5034094183200712,0.3559635789168586,0.14744583940321263,0.5103962945881874,0.003205858625043453,0.5041128116831022,0.5166797774932725,0.5034094183200712,10.0,0.5938326051388827
local,0.046,0.046,0.5126656204656902,0.36871635449307405,0.14394926597261612,0.5214249196178476,0.0033152338118802483,0.5149270613465624,0.5279227778891329,0.5126656204656902,10.0,0.5907617932072518
local,0.048,0.048,0.5217522194930648,0.38121660819385916,0.1405356112992056,0.5227553525615384,0.003325941933625896,0.5162365063716317,0.5292741987514451,0.5217522194930648,10.0,0.5877104590019845
local,0.05,0.05,0.5306722493108732,0.3934693402873666,0.1372029090235066,0.525037221722989,0.003323366586271122,0.5185234232138975,0.5315510202320803,0.5306722493108732,10.0,0.5846784419717257
local,0.052000000000000005,0.052000000000000005,0.5394286914466696,0.4054794520298056,0.133949239416864,0.5330526096050551,0.0033933008240797733,0.5264017399898587,0.5397034792202514,0.5394286914466696,10.0,0.5816655832843908
local,0.054,0.054,0.5480244759016355,0.41725174762601025,0.13077272827562522,0.5498533541359103,0.0034777815916636422,0.5430369022162496,0.556669806055571,0.5480244759016355,10.0,0.5786717258041824
local,0.056,0.056,0.5564624819927321,0.42879093615118513,0.12767154584154697,0.5586011531402003,0.0035193783716397976,0.5517031715317863,0.5654991347486144,0.5564624819927321,10.0,0.5756967140689772
local,0.058,0.058,0.5647455391824021,0.44010163343459796,0.12464390574780414,0.5640110349461773,0.003548462070953064,0.5570560492871093,0.5709660206052454,0.5647455391824021,10.0,0.5727403942680723
local,0.06,0.06,0.5728764278959665,0.4511883639059736,0.12168806398999289,0.5744215894057808,0.0036447373087330156,0.567277904280664,0.5815652745308976,0.5728764278959665,10.0,0.5698026142202877
local,0.062,0.062,0.5808578803268616,0.4620555624053255,0.11880231792153612,0.580297100135767,0.0036570836304451347,0.5731292162200945,0.5874649840514394,0.5808578803268616,10.0,0.5668832233524147
local,0.064,0.064,0.5886925812298631,0.47270757595695145,0.11598500527291167,0.5845109279299742,0.003697956992784953,0.5772629322241156,0.5917589236358327,0.5886925812298631,10.0,0.5639820726780084
local,0.066,0.066,0.5963831687024402,0.4831486655083008,0.11323450319413941,0.604580184514906,0.003840644945337091,0.5970525204220454,0.6121078486077667,0.5963831687024402,10.0,0.561099014776513
local,0.068,0.068,0.6039322349543851,0.49338300763441045,0.11054922731997464,0.6052092154789095,0.0038522199187082996,0.5976588644382412,0.6127595665195777,0.6039322349543851,10.0,0.5582339037727181
local,0.07,0.07,0.6113423270658604,0.5034146962085906,0.10792763085726992,0.6122487309756369,0.0038728629471657854,0.604657919599192,0.6198395423520818,0.6113423270658604,10.0,0.5553865953165367
local,0.07200000000000001,0.07200000000000001,0.6186159477340077,0.5132477440400284,0.1053682036939794,0.6133447400428891,0.0038735095630429445,0.6057526612993249,0.6209368187864532,0.6186159477340077,10.0,0.5525569465631011
local,0.074,0.074,0.6257555560082582,0.5228860844789656,0.10286947152929266,0.6254843784620864,0.003957331355112709,0.6177280090060655,0.6332407479181072,0.6257555560082582,10.0,0.5497448161531697
local,0.076,0.076,0.6327635680144872,0.5323335729900907,0.10042999502439652,0.6341647785771917,0.004002515795425768,0.6263198476181572,0.6420097095362262,0.6327635680144872,10.0,0.5469500641938402
local,0.078,0.078,0.6396423576681527,0.5415939886947765,0.09804836897337625,0.6432358649897173,0.004075378236684678,0.6352481236458153,0.6512236063336193,0.6396423576681527,10.0,0.5441725522395617
local,0.08,0.08,0.6463942573765564,0.5506710358827784,0.09572322149377802,0.646932204291423,0.004072384319304098,0.638950331025587,0.654914077557259,0.6463942573765564,10.0,0.5414121432734429
local,0.082,0.082,0.6530215587303674,0.5595683454940007,0.09345321323636663,0.6544522882536632,0.004185742595211512,0.6462482327670487,0.6626563437402777,0.6530215587303674,10.0,0.5386687016888481
