replicate,seed,samples,theory,estimate,se,ci95_low,ci95_high,abs_error
0,9941,1000,0.7981034820053446,0.8113973800869156,0.038103873540637025,0.736713787947267,0.8860809722265642,0.013293898081570998
0,9941,3000,0.7981034820053446,0.7868238051160175,0.02132410935584679,0.7450285507785578,0.8286190594534771,0.011279676889327184
0,9941,10000,0.7981034820053446,0.8055821775576213,0.011242282453930155,0.7835473039479182,0.8276170511673244,0.0074786955522766485
0,9941,30000,0.7981034820053446,0.7946775715848355,0.006557915098764785,0.7818240579912565,0.8075310851784145,0.003425910420509104
1,9942,1000,0.7981034820053446,0.7967417603282255,0.034493797641575036,0.7291339169507385,0.8643496037057126,0.001361721677119121
1,9942,3000,0.7981034820053446,0.7855474152308183,0.020001015296336987,0.7463454252499978,0.8247494052116388,0.012556066774526364
1,9942,10000,0.7981034820053446,0.8009728166928608,0.011295880444256178,0.7788328910221187,0.8231127423636029,0.0028693346875161563
1,9942,30000,0.7981034820053446,0.7901736464076636,0.006604652954625992,0.7772285266165967,0.8031187661987306,0.007929835597681012
2,9943,1000,0.7981034820053446,0.7971051336659118,0.03450056955500953,0.7294840173380932,0.8647262499937305,0.0009983483394327974
2,9943,3000,0.7981034820053446,0.8391876784602094,0.021793205539343104,0.7964729956030969,0.8819023613173218,0.04108419645486472
2,9943,10000,0.7981034820053446,0.8028764970774597,0.011429458874886791,0.7804747576826816,0.8252782364722377,0.004773015072115028
2,9943,30000,0.7981034820053446,0.7867923271795746,0.006485742230958863,0.7740802724068953,0.7995043819522539,0.011311154825770053
3,9944,1000,0.7981034820053446,0.8379087224695402,0.037381253035883584,0.7646414665192084,0.911175978419872,0.039805240464195535
3,9944,3000,0.7981034820053446,0.8007661596057536,0.020760635122680622,0.7600753147652995,0.8414570044462076,0.002662677600408947
3,9944,10000,0.7981034820053446,0.7798074971498145,0.010880820205421367,0.7584810895471886,0.8011339047524403,0.01829598485553019
3,9944,30000,0.7981034820053446,0.8040247641473756,0.006606349432187099,0.7910763192602889,0.8169732090344622,0.005921282142030915
4,9945,1000,0.7981034820053446,0.8031106040055249,0.03656660797473613,0.7314400523750421,0.8747811556360078,0.005007122000180275
4,9945,3000,0.7981034820053446,0.8172171689875233,0.02154345240102259,0.774992002281519,0.8594423356935276,0.019113686982178635
4,9945,10000,0.7981034820053446,0.79095130595952,0.01129139085674995,0.76882017988029,0.81308243203875,0.007152176045824632
4,9945,30000,0.7981034820053446,0.7943535378390282,0.006489249130493841,0.7816346095432603,0.8070724661347961,0.0037499441663164657
5,9946,1000,0.7981034820053446,0.8278725220947873,0.0345860409764599,0.7600838817809259,0.8956611624086488,0.0297690400894427
5,9946,3000,0.7981034820053446,0.795216298244939,0.020516474916356837,0.7550040074088796,0.8354285890809984,0.0028871837604056427
5,9946,10000,0.7981034820053446,0.7859257792093676,0.010985632123384558,0.7643939402475338,0.8074576181712013,0.012177702795977075
5,9946,30000,0.7981034820053446,0.802703393869467,0.006576753407324111,0.7898129571911118,0.8155938305478222,0.004599911864122341
6,9947,1000,0.7981034820053446,0.7843252197999959,0.03645393646548089,0.7128755043276533,0.8557749352723385,0.013778262205348724
6,9947,3000,0.7981034820053446,0.8158364962308873,0.021649589838837507,0.7734033001467657,0.8582696923150088,0.01773301422554263
6,9947,10000,0.7981034820053446,0.794743564773049,0.01117257025483064,0.7728453270735809,0.816641802472517,0.0033599172322956727
6,9947,30000,0.7981034820053446,0.8009640042928328,0.006631355525052811,0.7879665474637293,0.8139614611219362,0.002860522287488121
7,9948,1000,0.7981034820053446,0.8106629669328409,0.03797601292638329,0.7362299815971296,0.8850959522685522,0.012559484927496256
7,9948,3000,0.7981034820053446,0.7886447917960719,0.02012316759364867,0.7492033833125206,0.8280862002796233,0.009458690209272702
7,9948,10000,0.7981034820053446,0.7981935757065804,0.011055467501779008,0.7765248594030936,0.8198622920100673,9.009370123580496e-05
7,9948,30000,0.7981034820053446,0.7981228467703215,0.006475044759068764,0.7854317590425467,0.8108139344980964,1.9364764976881332e-05
