ell_c,radius,eta_theory,eta_mc,eta_mc_se,eta_mc_ci_low,eta_mc_ci_high,abs_error,omitted_variance_mc,omitted_variance_mc_se,normalizer_analytic,rinf_analytic,samples
0.7,0,0.04601899199231007,0.04594364095908695,8.679851746547152e-05,0.04577351586485462,0.04611376605331928,7.535103322311998e-05,5.136174370944481,0.009703460838881487,111.79293290051328,55.89646645025664,12000
0.7,1,0.0028775254643445196,0.0028732607211230613,6.056328661564135e-06,0.002861390316946396,0.002885131125299727,4.2647432214582524e-06,0.3212102430021908,0.0006770547436856948,111.79293290051328,55.89646645025664,12000
0.7,4,5.459992915543585e-07,5.458773744465351e-07,1.1472795516791825e-09,5.43628706525244e-07,5.481260423678263e-07,1.2191710782337273e-10,6.102523269340987e-05,1.282577459390018e-07,111.79293290051328,55.89646645025664,12000
0.7,32,1.3903492771393985e-17,2.6928854972121333e-31,6.8413547160208745e-34,2.6794764419687324e-31,2.706294552455534e-31,1.3903492771393717e-17,3.0104556769860136e-29,7.648151087167317e-32,111.79293290051328,55.89646645025664,12000
2.0,0,0.25805370569827907,0.25774507155771825,0.000751520454494096,0.2562720914669098,0.25921805164852674,0.00030863414056081506,50.765520476357054,0.14801961795214288,196.96019857741044,98.48009928870522,12000
2.0,2,0.037152900560167186,0.03709420512751653,0.00010960078855063907,0.03687938758195728,0.03730902267307578,5.8695432650655854e-05,7.306082007986852,0.021586993077174644,196.96019857741044,98.48009928870522,12000
2.0,5,0.0018499267882965409,0.001848303672132795,5.453778525948822e-06,0.0018376142662219353,0.0018589930780436546,1.623116163745799e-06,0.3640422582946322,0.0010741773014680967,196.96019857741044,98.48009928870522,12000
2.0,32,4.5094309719181576e-17,2.629323495761763e-31,6.8689501015297695e-34,2.615860353562765e-31,2.6427866379607613e-31,4.509430971918131e-17,5.178720778494878e-29,1.352909776015627e-31,196.96019857741044,98.48009928870522,12000
6.0,0,0.5723910808983853,0.5747832375555706,0.003198405856594236,0.5685143620766459,0.5810521130344952,0.002392156657185285,139.42391215557998,0.7758303096731731,242.56781173459387,121.28390586729694,12000
6.0,5,0.11127582595114749,0.11206046267981866,0.0005764213455416771,0.11093067684255696,0.11319024851708034,0.0007846367286711703,27.182261214209735,0.13982126442515483,242.56781173459387,121.28390586729694,12000
6.0,8,0.040922597381939395,0.04114373523593975,0.00022156532605307517,0.040709467196875716,0.04157800327500377,0.0002211378540003528,9.980145822769408,0.053744616296956246,242.56781173459387,121.28390586729694,12000
6.0,32,2.9292540122245987e-17,2.726901267713799e-31,7.477231772995071e-34,2.7122458934387285e-31,2.74155664198887e-31,2.9292540122245715e-17,6.614584733256262e-29,1.8137357490077918e-31,242.56781173459387,121.28390586729694,12000
