n,gamma_over_q,eta_omitted,eta_captured,threshold_theory,threshold_empirical,threshold_empirical_se,threshold_ci_low,threshold_ci_high,boundary_abs_error,boundary_residual,rinf_empirical,rloc_empirical,paired_regret_covariance,threshold_denominator_valid
5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.504604536647367,0.0,0.0,True
5,0.05,0.007936507936507938,0.9920634920634921,0.003984084824588441,0.004045409628215868,2.2228799272482913e-05,0.004001841181641801,0.004088978074789935,6.132480362742738e-05,6.132480362742738e-05,2.405933153566448,0.019387434414186673,0.016810194554444203,True
5,0.1,0.02597402597402598,0.974025974025974,0.013158654158686679,0.013206804406324435,7.111605241081446e-05,0.013067416943599239,0.013346191869049631,4.8150247637756063e-05,4.8150247637756063e-05,2.3272402871538556,0.06066608239502954,0.045940954130487655,True
5,0.2,0.07407407407407408,0.9259259259259258,0.0384805205680642,0.038749382395504184,0.00020506289104721195,0.03834745912905165,0.039151305661956716,0.00026886182743998677,0.00026886182743998677,2.2448369871622167,0.16740160781189994,0.11105498937484752,True
5,0.5,0.2222222222222222,0.7777777777777778,0.125657214140453,0.1259031653273074,0.0006092980791625314,0.12470894109214882,0.12709738956246594,0.0002459511868543873,0.0002459511868543873,2.1430447661678746,0.4770518777074341,0.29679237703789474,True
5,1,0.4,0.6,0.25541281188299536,0.25373489355343004,0.0010804533244096683,0.2516172050375871,0.25585258206927297,0.00167791832956532,-0.00167791832956532,2.0813713801048666,0.8283506668458466,0.5503099186251876,True
5,2,0.5925925925925926,0.4074074074074074,0.4489707966029793,0.45188069180147794,0.0016493919295657536,0.44864788361952906,0.4551134999834268,0.0029098951984986576,0.0029098951984986576,2.051630413492439,1.2206313265726065,0.9292639140896715,True
5,5,0.7936507936507936,0.20634920634920634,0.789092684464998,0.7946649684192357,0.0022602075464916815,0.790234961628112,0.7990949752103594,0.0055722839542377,0.0055722839542377,2.010618442690505,1.6003270177180922,1.3717766792294583,True
5,10,0.8869179600886918,0.1130820399113082,1.0898208533891762,1.088128985439449,0.0024137407116410323,1.0833980536446326,1.0928599172342652,0.0016918679497273104,-0.0016918679497273104,2.0188336006654453,1.7897659844405691,1.6776515275217383,True
10,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.969468924532356,0.0,0.0,True
10,0.05,0.014778325123152714,0.9852216748768473,0.007444306246875279,0.007497133447465498,5.100041525324854e-05,0.007397172633569131,0.007597094261361866,5.2827200590218996e-05,5.2827200590218996e-05,4.835810541473923,0.07196852788110392,0.05097653616886386,True
10,0.1,0.043062200956937816,0.9569377990430623,0.02200844270838713,0.0219867126349641,0.0001492174882421687,0.02169424635800945,0.022279178911918752,2.1730073423029128e-05,-2.1730073423029128e-05,4.746435391908216,0.20419455251117744,0.12088848902870529,True
10,0.2,0.10714285714285718,0.8928571428571429,0.05666434265350154,0.056467778275130276,0.0003658574541515037,0.055750697664993326,0.057184858885267226,0.00019656437837126117,-0.00019656437837126117,4.676381987686991,0.49939915791988887,0.24939934841515357,True
10,0.5,0.2727272727272727,0.7272727272727273,0.1592268655592673,0.1600807118059545,0.000947346229477844,0.15822391319617793,0.1619375104157311,0.0008538462466872176,0.0008538462466872176,4.583092084709403,1.255621356276375,0.6397331258948872,True
10,1,0.45,0.55,0.2989185003778102,0.2984394164047931,0.0015440300121576833,0.29541311758096406,0.30146571522862214,0.0004790839730171026,-0.0004790839730171026,4.5866254667614195,2.0615631850443665,1.2529362477158292,True
10,2,0.631578947368421,0.3684210526315789,0.4992644150555636,0.5017957962825026,0.00221548606872423,0.4974534435878031,0.5061381489772021,0.002531381226938967,0.002531381226938967,4.50158983505706,2.851484643241218,2.0452912936153913,True
10,5,0.8152173913043478,0.18478260869565216,0.8442876164964122,0.8398848780335582,0.002756962790761726,0.8344812309636652,0.8452885251034511,0.0044027384628539945,-0.0044027384628539945,4.512064925165915,3.6709398032519283,3.1221278496306644,True
10,10,0.8991008991008991,0.1008991008991009,1.1468171312369806,1.149992057701108,0.003121321028191323,1.143874268485853,1.156109846916363,0.0031749264641274255,0.0031749264641274255,4.481018990463375,4.031750071380195,3.6752761545934938,True
25,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.525179392423993,0.0,0.0,True
25,0.05,0.025974025974025972,0.9740259740259738,0.013158654158686788,0.01334527475988545,0.00010084978638682317,0.013147609178567277,0.013542940341203624,0.00018662060119866222,0.00018662060119866222,12.229361109520966,0.3220908564690849,0.16174461239879676,True
25,0.1,0.06417112299465241,0.9358288770053474,0.03316132146553636,0.033017566342417703,0.0002434438590673802,0.03254041637864564,0.03349471630618977,0.00014375512311865651,-0.00014375512311865651,12.166262428063554,0.7774487927105906,0.2802664865016499,True
25,0.2,0.13793103448275862,0.8620689655172413,0.0742100025591367,0.07428677284010132,0.0005317978017769281,0.07324444914861854,0.07532909653158411,7.677028096461647e-05,7.677028096461647e-05,12.086382273889388,1.668686871801013,0.5440813485089344,True
25,0.5,0.3076923076923077,0.6923076923076923,0.18386239006265867,0.18242106261959967,0.0011616534300011162,0.1801442218967975,0.18469790334240185,0.0014413274430589984,-0.0014413274430589984,12.064015132460483,3.6878939576178134,1.538818821540175,True
25,1,0.48,0.52,0.32696323370333197,0.32818779121926056,0.0018603293726151768,0.32454154564893484,0.3318340367895863,0.0012245575159285926,0.0012245575159285926,12.025938979105652,5.7877474826681725,3.0539820869728445,True
25,2,0.6530612244897959,0.3469387755102041,0.5293034770272053,0.5283147985050777,0.002486619603073428,0.5234410240830537,0.5331885729271016,0.000988678522127584,-0.000988678522127584,12.03045476837876,7.848362202492793,5.347207690286908,True
25,5,0.8264462809917356,0.17355371900826447,0.875634053936659,0.8738987764435826,0.0031497166535613724,0.8677253318026024,0.8800722210845628,0.001735277493076448,-0.001735277493076448,12.027928253711147,9.93317923243917,8.416939258867028,True
25,10,0.9053187476423991,0.0946812523576009,1.1786196335786208,1.1780834852281377,0.003439790528470431,1.1713414957923356,1.1848254746639397,0.0005361483504831011,-0.0005361483504831011,12.010177881641312,10.871819194725513,9.845600896936565,True
100,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.01190695506359,0.0,0.0,True
