graph,radius,eta_S,regret,is_optimum,rstar,rstar_regret,left_regret_gap,right_regret_gap
path,0,0.26521050638607674,0.2652105063860768,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,1,0.10131273896523682,0.14343080749162618,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,2,0.03669081643629856,0.12486827038385329,True,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,3,0.013274622161110219,0.14560658463021559,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,4,0.004801426351409124,0.17865578165469254,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,5,0.0017362058090116391,0.21473788679536077,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,6,0.0006276325857236006,0.25070898256777197,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,7,0.00022681721131108257,0.2855389830039423,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,8,8.19420629872916e-05,0.3189243861347615,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,9,2.959324530670699e-05,0.35080983552719236,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,10,1.068384297961934e-05,0.3812232191784556,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,11,3.855722431097501e-06,0.41021891642807096,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,12,1.3909811509916483e-06,0.437858336732723,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,13,5.016114551837898e-07,0.4642033110944356,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,14,1.8081625634662152e-07,0.4893139089741759,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,15,6.515143842184321e-08,0.5132477757526379,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,16,2.346493027111825e-08,0.5360599897946735,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,17,8.447242488556622e-09,0.557803094455446,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,18,3.0395007216195406e-09,0.5785271865051493,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,19,1.0931297078451084e-09,0.5982800203415459,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,20,3.929281975649352e-10,0.6171071141753374,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,21,1.4116140827472438e-10,0.6350518535970229,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,22,5.068368259729942e-11,0.6521555911005426,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,23,1.818690348527422e-11,0.66845774122115,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,24,6.521904166629264e-12,0.6839958713101983,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,25,2.3372425234849477e-12,0.6988057880885018,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
